family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,species,species_label,beam,dx_mm,dy_mm,power_kw
injection_ions,200,0.02,87540,99988,99988,99988,0.8755050606072728,1.0,9.853777020788787,9.981846658328717,51.98775155337306,420.8229832903232,427.5921247628504,52.65574472314277,150.5339798688293,4.7952999166896335,3.0275592189788454,5.000897909631041,-1.9733386906521955,ions,H₂⁺,injection,5,0,500
injection_ions,1000,0.1,92944,99988,99988,99988,0.9295515461855423,1.0,9.95057406293935,9.981846658328717,52.169709084659935,422.64586774763006,424.28843556840246,52.71928718672646,150.11827911464192,4.808566126974299,3.0822097886739757,5.000897909631041,-1.9186881209570652,ions,H₂⁺,injection,5,0,500
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.981846658328728,9.981846658328728,19.164032980973786,91.98885373563175,91.98885373563175,10.010209674958517,24.225669845187994,10.000897909631027,10.004931867433067,10.000897909631027,0.004033957802040078,ions,H₂⁺,injection,10,0,100
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.981846658328728,9.981846658328728,19.12285925218837,91.57636764768868,91.57636764768868,9.967109301553783,24.1142782140261,10.000897909631027,10.004727410217855,10.000897909631027,0.003829500586828516,ions,H₂⁺,injection,10,0,100
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.981846658328728,9.981846658328728,18.172922301245645,82.05972224670859,82.05972224670859,8.97052252570256,21.541068753353798,10.000897909631027,10.003824587324345,10.000897909631027,0.00292667769331878,ions,H₂⁺,injection,10,0,100
injection_ions,0,0.0,87104,99988,99988,99988,0.8711445373444814,1.0,9.82256826308714,9.981846658328728,51.92226370822792,420.1669138536068,428.6017090189124,52.73773902703107,156.81176372635412,9.572678562249779,5.880915588047069,10.000897909631027,-4.119982321583958,ions,H₂⁺,injection,10,0,500
injection_ions,200,0.02,87319,99988,99988,99988,0.8732947953754451,1.0,9.826586778360635,9.981846658328728,51.94754969041604,420.4202335353615,428.6428631028934,52.75160837504068,146.92618758663042,9.57131566444398,5.838523097029929,10.000897909631027,-4.162374812601097,ions,H₂⁺,injection,10,0,500
injection_ions,1000,0.1,92713,99988,99988,99988,0.9272412689522743,1.0,9.91636967839033,9.981846658328728,52.13857547338657,422.3339654279581,425.78289398595655,52.86360707138709,152.0408130985365,9.585546395922924,5.829142060264762,10.000897909631027,-4.1717558493662645,ions,H₂⁺,injection,10,0,500
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.43916793754874,94.74520700364573,94.74520700364573,10.29517218305372,24.850169298799397,0.0008979096310599358,0.005077381085525248,0.0008979096310599358,0.004179471454465312,ions,H₂⁺,injection,0,5,100
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.394708616981863,94.2998052449463,94.2998052449463,10.248713144476229,24.730897501976695,0.0008979096310599358,0.00485151054438981,0.0008979096310599358,0.003953600913329874,ions,H₂⁺,injection,0,5,100
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,18.371017584608847,84.04427771168308,84.04427771168308,9.176536380352191,21.988462280859896,0.0008979096310599358,0.003854150414835054,0.0008979096310599358,0.0029562407837751183,ions,H₂⁺,injection,0,5,100
injection_ions,0,0.0,86449,99988,99988,99988,0.86459375125015,1.0,9.81362251938671,9.98184665832871,52.22111666171068,423.16087843463447,432.12885006070286,52.720971613435196,141.573910062432,0.027997974750381575,0.28291635956972583,0.0008979096310599358,0.28201844993866587,ions,H₂⁺,injection,0,5,500
injection_ions,200,0.02,86704,99988,99988,99988,0.8671440572868744,1.0,9.821514063544273,9.98184665832871,52.275407414673296,423.7047733152206,432.2540605904174,52.77336714155114,139.8987035531591,0.027045931472118926,0.28341739508805724,0.0008979096310599358,0.2825194854569973,ions,H₂⁺,injection,0,5,500
