family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998677622530378,9.996173445969642,-0.025045077511975933,-0.024786180990443718,0.10290546677806457,1.301948333682799,20,100
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.516847471738828,18.289115054313342,73.90301707294293,82.9158125355117,25.266931332920425,127.102361596993,20,500
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.444149176420426,12.057661222510236,15.448956337511976,20.59287140157351,12.642910268379197,67.9250669465175,20,500
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.203073108157119,13.776393460507201,35.02200086651634,37.78251140933586,6.776456295504341,32.184666286567506,20,500
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.024962967536013,11.527570415182012,14.988658337311733,15.291248526322377,4.5230535778910514,20.046964539287902,20,500
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002718392651676,9.821168387714097,-1.8150066592992453,-1.7750727494533547,2.8848355006046456,13.849624354843899,20,500
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.024684301303255,9.922932549353124,-1.0150120332158785,-0.7572939089835584,1.9684760977511246,8.9822022488721,20,500
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.018289166606506,10.171785273152686,1.5321588745693449,1.7315688949461894,1.3611067509472308,7.2940298460258,20,500
injection_electrons_s10x10,175,0.0175,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001866414607326,10.033471269946533,0.3159895766359222,0.3482423531009582,0.9870611866774905,5.353686018655,20,500
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001482865935104,9.955916478606275,-0.4555963144628028,-0.42741013920920556,0.7650335932607105,4.518552683486701,20,500
injection_electrons_s10x10,225,0.022500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.007267721689104,10.032371654830216,0.2508570155138834,0.33724471915967946,0.6372573525128425,4.4023697367336,20,500
injection_electrons_s10x10,250,0.025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.005229070546106,10.023004998471393,0.17766637625136195,0.24356552508564278,0.543557461868468,3.946023760491401,20,500
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000427295185599,9.972641100465328,-0.2778500748027768,-0.26014136827015033,0.4706518279090257,3.2208799440855005,20,500
injection_electrons_s10x10,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000201000901502,9.980836798110387,-0.19363813576716016,-0.17817334031530185,0.42485934700180683,3.3225492768044997,20,500
injection_electrons_s10x10,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998677622530378,9.997783209576463,-0.00894531244711727,-0.008686374233402017,0.1288080685993398,1.1271165282208997,20,500
