family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,power_kw,sigma_x_mm
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,21.87984297994844,36.99771525800399,36.99771525800399,6.649985592711354,15.9408701964493,100,16
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,16.969139319158835,16.969139319158835,22.586638082140077,33.10420556591731,33.10420556591731,6.34641580474041,15.237528655186502,100,17
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,17.967323984991708,17.967323984991708,23.322146291619823,29.803115428324524,29.803115428324524,6.07127185802323,14.618808723211409,100,18
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,18.965508650824585,18.965508650824585,24.082432784012262,26.980157650373382,26.980157650373382,5.820777610848694,14.048964375931597,100,19
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,19.963693316657462,19.963693316657462,24.863524258253623,24.54370974286506,24.54370974286506,5.591099135859274,13.501483992939104,100,20
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,2.9945539974985853,2.9945539974985853,49.760481445411784,1561.69925427886,1561.69925427886,47.507230898589505,107.1959605277709,200,3
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,3.9927386633314605,3.9927386633314605,43.956215124815145,1000.9038865603833,1000.9038865603833,40.93030830595846,97.60242180822311,200,4
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,39.25525321859315,686.5328843904706,686.5328843904706,35.3950529704386,87.5527098581334,200,5
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,35.42244562921593,491.4477691637021,491.4477691637021,30.64317086946356,76.5064765274748,200,6
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,32.58222682135287,366.30688598468015,366.30688598468015,26.830654993043105,66.5599120223071,200,7
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,30.664001576544464,283.99710276753865,283.99710276753865,23.9307023703363,59.103859027194495,200,8
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,29.393196304582446,227.18502019705272,227.18502019705272,21.675652697351314,53.0614563870688,200,9
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,28.57219598700285,186.24158399751232,186.24158399751232,19.86781827430123,48.726167893855205,200,10
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,28.073588888953374,155.67858651894167,155.67858651894167,18.379151141309627,44.880044870108804,200,11
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,27.815660268563832,132.21872348769273,132.21872348769273,17.12754626948673,41.8380291752659,200,12
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,27.74159268398563,113.78495793845316,113.78495793845316,16.056639164205833,39.1580904100538,200,13
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,27.812360085364833,99.02100452495337,99.02100452495337,15.1274832913085,36.9203408134961,200,14
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,27.99893602263357,86.9990392293569,86.9990392293569,14.311563274935304,34.9160321755688,200,15
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,28.280891797561544,77.07702771338111,77.07702771338111,13.588622398106269,33.2237008861823,200,16
