family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,voltage_kv,power_kw
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.435259074036292,64.65148821258386,64.65148821258386,7.2042528741776835,18.067011822463797,h2o_ions,H₂O⁺,25,100
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,16.3472334721162,63.769631328450686,63.769631328450686,7.110963623906262,17.8375532445134,h2o_ions,H₂O⁺,25,100
injection_h2o_ions_s10x10,0,0.0,99870,99988,99988,99988,0.9988198583830059,1.0,9.98012591869202,9.98184665832871,46.293807879689616,363.7799944668828,363.8599578486763,46.73582323607706,135.66042148573828,h2o_ions,H₂O⁺,25,500
injection_h2o_ions_s10x10,200,0.02,99877,99988,99988,99988,0.998889866784014,1.0,9.980277298511357,9.98184665832871,46.27733307053336,363.6149467585762,363.6878484071382,46.77363477353492,141.8543411905239,h2o_ions,H₂O⁺,25,500
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,45.82329457360816,359.0663044835883,359.0663044835883,37.66966520865844,99.60316498940911,h2o_ions,H₂O⁺,25,500
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,15.583609738865379,56.11950646289119,56.11950646289119,6.278168318721518,15.654345588892,h2o_ions,H₂O⁺,30,100
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,15.580991799110059,56.09327945455367,56.09327945455367,6.2753779343383345,15.6474839743307,h2o_ions,H₂O⁺,30,100
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,15.518401121524311,55.4662343823523,55.4662343823523,6.20864736713051,15.4833994814215,h2o_ions,H₂O⁺,30,100
injection_h2o_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,41.56401876719255,316.3960857133798,316.3960857133798,33.315404333041855,87.10444991835881,h2o_ions,H₂O⁺,30,500
injection_h2o_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,41.547628736187384,316.2318873283897,316.2318873283897,33.29863592638784,87.0509640659769,h2o_ions,H₂O⁺,30,500
injection_h2o_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,41.156687726009125,312.3153674342269,312.3153674342269,32.898653421843434,85.7756531252952,h2o_ions,H₂O⁺,30,500
injection_n2_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,32.04330365310332,221.0157874581939,221.0157874581939,23.161849513239943,52.030205886401106,n2_ions,N₂⁺,5,100
injection_n2_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,32.00584758446822,220.6405455824449,220.6405455824449,23.12337869578164,51.92175850893919,n2_ions,N₂⁺,5,100
